timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1654010418618,11,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,1,https://localhost:44339/listings/listings/id/23601178,,11,ISO-8859-1,1,0,patrick,0,9
1654010418618,173,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,1,https://localhost:44339/listings/geojson,,156,utf-8,1,0,patrick,0,9
1654010418618,343,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,1,https://localhost:44339/graph/neighbourhoods,,343,utf-8,1,0,patrick,0,9
1654010418619,670,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,1,https://localhost:44339/listings,,455,utf-8,1,0,patrick,0,8
1654010419461,8,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,1,https://localhost:44339/listings/listings/id/23601178,,8,ISO-8859-1,1,0,patrick,0,7
1654010419461,93,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,1,https://localhost:44339/listings/geojson,,78,utf-8,1,0,patrick,0,7
1654010419461,232,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,1,https://localhost:44339/graph/neighbourhoods,,232,utf-8,1,0,patrick,0,11
1654010419461,575,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,1,https://localhost:44339/listings,,364,utf-8,1,0,patrick,0,11
1654010420295,8,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,1,https://localhost:44339/listings/listings/id/23601178,,8,ISO-8859-1,1,0,patrick,0,8
1654010420295,72,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,1,https://localhost:44339/listings/geojson,,55,utf-8,1,0,patrick,0,8
1654010420295,200,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,1,https://localhost:44339/graph/neighbourhoods,,200,utf-8,1,0,patrick,0,7
1654010420295,538,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,1,https://localhost:44339/listings,,327,utf-8,1,0,patrick,0,8
1654010421128,8,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,1,https://localhost:44339/listings/listings/id/23601178,,8,ISO-8859-1,1,0,patrick,0,7
1654010421128,65,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,1,https://localhost:44339/listings/geojson,,50,utf-8,1,0,patrick,0,8
1654010421128,189,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,1,https://localhost:44339/graph/neighbourhoods,,189,utf-8,1,0,patrick,0,8
1654010421128,550,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,1,https://localhost:44339/listings,,327,utf-8,1,0,patrick,0,7
1654010421951,10,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,1,https://localhost:44339/listings/listings/id/23601178,,10,ISO-8859-1,1,0,patrick,0,9
1654010421951,85,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,1,https://localhost:44339/listings/geojson,,67,utf-8,1,0,patrick,0,11
1654010421951,226,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,1,https://localhost:44339/graph/neighbourhoods,,226,utf-8,1,0,patrick,0,9
1654010422374,8,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,2,https://localhost:44339/listings/listings/id/23601178,,8,ISO-8859-1,1,0,patrick,0,7
1654010422374,82,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,2,https://localhost:44339/listings/geojson,,63,utf-8,1,0,patrick,0,7
1654010422374,234,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,2,https://localhost:44339/graph/neighbourhoods,,234,utf-8,1,0,patrick,0,8
1654010421951,730,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,2,https://localhost:44339/listings,,401,utf-8,1,0,patrick,0,12
1654010422784,10,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,2,https://localhost:44339/listings/listings/id/23601178,,10,ISO-8859-1,1,0,patrick,0,9
1654010422784,88,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,2,https://localhost:44339/listings/geojson,,70,utf-8,1,0,patrick,0,9
1654010422784,271,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,2,https://localhost:44339/graph/neighbourhoods,,271,utf-8,1,0,patrick,0,9
1654010422374,812,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,2,https://localhost:44339/listings,,441,utf-8,1,0,patrick,0,7
1654010423210,9,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,2,https://localhost:44339/listings/listings/id/23601178,,9,ISO-8859-1,1,0,patrick,0,9
1654010423210,75,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,2,https://localhost:44339/listings/geojson,,57,utf-8,1,0,patrick,0,7
1654010423210,220,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,2,https://localhost:44339/graph/neighbourhoods,,220,utf-8,1,0,patrick,0,8
1654010422784,802,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,2,https://localhost:44339/listings,,515,utf-8,1,0,patrick,0,10
1654010423619,11,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,2,https://localhost:44339/listings/listings/id/23601178,,11,ISO-8859-1,1,0,patrick,0,10
1654010423619,80,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,2,https://localhost:44339/listings/geojson,,63,utf-8,1,0,patrick,0,10
1654010423620,239,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,2,https://localhost:44339/graph/neighbourhoods,,239,utf-8,1,0,patrick,0,7
1654010423210,741,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,2,https://localhost:44339/listings,,407,utf-8,1,0,patrick,0,8
1654010424046,10,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,2,https://localhost:44339/listings/listings/id/23601178,,10,ISO-8859-1,1,0,patrick,0,9
1654010424046,84,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,2,https://localhost:44339/listings/geojson,,67,utf-8,1,0,patrick,0,9
1654010424046,224,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,2,https://localhost:44339/graph/neighbourhoods,,224,utf-8,1,0,patrick,0,8
