timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1654010067327,21,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,1,https://localhost:44339/listings/listings/id/23601178,,21,ISO-8859-1,1,0,patrick,0,19
1654010068339,8,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,2,https://localhost:44339/listings/listings/id/23601178,,8,ISO-8859-1,1,0,patrick,0,7
1654010069338,9,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,3,https://localhost:44339/listings/listings/id/23601178,,9,ISO-8859-1,1,0,patrick,0,9
1654010070334,11,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,4,https://localhost:44339/listings/listings/id/23601178,,11,ISO-8859-1,1,0,patrick,0,10
1654010070833,12,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,5,https://localhost:44339/listings/listings/id/23601178,,12,ISO-8859-1,1,0,patrick,0,11
1654010071335,9,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,6,https://localhost:44339/listings/listings/id/23601178,,8,ISO-8859-1,1,0,patrick,0,8
1654010071830,9,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,7,https://localhost:44339/listings/listings/id/23601178,,9,ISO-8859-1,1,0,patrick,0,8
1654010072339,9,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,8,https://localhost:44339/listings/listings/id/23601178,,9,ISO-8859-1,1,0,patrick,0,9
1654010072839,9,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,9,https://localhost:44339/listings/listings/id/23601178,,9,ISO-8859-1,1,0,patrick,0,8
1654010073330,11,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,10,https://localhost:44339/listings/listings/id/23601178,,11,ISO-8859-1,1,0,patrick,0,10
1654010073659,8,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,11,https://localhost:44339/listings/listings/id/23601178,,8,ISO-8859-1,1,0,patrick,0,7
1654010067327,6679,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,12,https://localhost:44339/listings/geojson,,6638,utf-8,1,0,patrick,0,18
1654010072839,1170,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,12,https://localhost:44339/listings/geojson,,1140,utf-8,1,0,patrick,0,8
1654010070833,3181,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,9,https://localhost:44339/listings/geojson,,3145,utf-8,1,0,patrick,0,9
1654010072339,1677,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,12,https://localhost:44339/listings/geojson,,1643,utf-8,1,0,patrick,0,9
1654010068339,5678,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,12,https://localhost:44339/listings/geojson,,5642,utf-8,1,0,patrick,0,7
1654010069337,4681,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,12,https://localhost:44339/listings/geojson,,4648,utf-8,1,0,patrick,0,9
1654010073330,689,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,12,https://localhost:44339/listings/geojson,,655,utf-8,1,0,patrick,0,10
1654010070334,3691,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,12,https://localhost:44339/listings/geojson,,3645,utf-8,1,0,patrick,0,10
1654010073659,370,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,12,https://localhost:44339/listings/geojson,,334,utf-8,1,0,patrick,0,7
1654010071335,2698,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,12,https://localhost:44339/listings/geojson,,2655,utf-8,1,0,patrick,0,8
1654010071830,2204,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,12,https://localhost:44339/listings/geojson,,2153,utf-8,1,0,patrick,0,8
1654010074016,19,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,12,https://localhost:44339/listings/listings/id/23601178,,19,ISO-8859-1,1,0,patrick,0,17
1654010074016,156,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,12,https://localhost:44339/listings/geojson,,136,utf-8,1,0,patrick,0,14
1654010074335,12,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,13,https://localhost:44339/listings/listings/id/23601178,,12,ISO-8859-1,1,0,patrick,0,10
